zip_code,date,ZORI,region_id,size_rank,region_name,region_type,state_name,state,city,metro,county_name,borough,neighborhood
10001,2019-02-28,3970.129359864052,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2019-03-31,3999.1278495341703,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2019-04-30,4056.815012367261,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2019-05-31,4132.2931074736825,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2019-06-30,4189.7772042967645,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2019-07-31,4203.166596274372,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2019-08-31,4251.275951259403,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2019-09-30,4240.840765638533,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2019-10-31,4228.4052804758685,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2019-11-30,4177.625884550223,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
10001,2019-12-31,4116.195612005823,61615,4444,10001,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,Manhattan,Chelsea and Clinton
