year,month,close
1980,March,102.089996
1980,February,113.660004
1980,January,114.160004
1979,December,107.940002
1979,November,106.160004
1979,October,101.82
1979,September,109.32
1979,August,109.32
1979,July,103.809998
1979,June,102.910004
1979,May,99.080002
1979,April,101.760002
1979,March,101.589996
1979,February,96.279999
1979,January,99.93
1978,December,96.110001
1978,November,94.699997
1978,October,93.150002
1978,September,102.540001
1978,August,103.290001
1978,July,100.68
1978,June,95.529999
1978,May,97.239998
1978,April,96.830002
1978,March,89.209999
1978,February,87.040001
1978,January,89.25
1977,December,95.099998
1977,November,94.830002
1977,October,92.339996
1977,September,96.529999
1977,August,96.769997
1977,July,98.849998
1977,June,100.480003
1977,May,96.120003
1977,April,98.440002
1977,March,98.419998
1977,February,99.82
1977,January,102.029999
1976,December,107.459999
1976,November,102.099998
1976,October,102.900002
1976,September,105.239998
1976,August,102.910004
1976,July,103.440002
1976,June,104.279999
1976,May,100.18
1976,April,101.639999
1976,March,102.769997
1976,February,99.709999
1976,January,100.860001
1975,December,90.190002
1975,November,91.239998
1975,October,89.040001
1975,September,83.870003
1975,August,86.879997
1975,July,88.75
1975,June,95.190002
1975,May,91.150002
1975,April,87.300003
1975,March,83.360001
1975,February,81.589996
1975,January,76.980003
1974,December,68.559998
1974,November,69.970001
1974,October,73.900002
1974,September,63.540001
1974,August,72.150002
1974,July,79.309998
1974,June,86
1974,May,87.279999
1974,April,90.309998
1974,March,93.980003
1974,February,96.220001
1974,January,96.57
1973,December,97.550003
1973,November,95.959999
1973,October,108.290001
1973,September,108.43
1973,August,104.25
1973,July,108.220001
1973,June,104.260002
1973,May,104.949997
1973,April,106.970001
1973,March,111.519997
1973,February,111.68
1973,January,116.029999
1972,December,118.050003
1972,November,116.669998
1972,October,111.580002
1972,September,110.550003
1972,August,111.089996
1972,July,107.389999
1972,June,107.139999
1972,May,109.529999
1972,April,107.669998
1972,March,107.199997
1972,February,106.57
1972,January,103.940002
1971,December,102.089996
1971,November,93.989998
1971,October,94.230003
1971,September,98.339996
1971,August,99.029999
1971,July,95.580002
1971,June,98.699997
1971,May,99.629997
1971,April,103.949997
1971,March,100.309998
1971,February,96.75
1971,January,95.879997
1970,December,92.150002
1970,November,87.199997
1970,October,83.25
1970,September,84.300003
1970,August,81.519997
1970,July,78.050003
1970,June,72.720001
1970,May,76.550003
1970,April,81.519997
1970,March,89.629997
1970,February,89.5
1970,January,85.019997
1969,December,92.059998
1969,November,93.809998
1969,October,97.120003
1969,September,93.120003
1969,August,95.510002
1969,July,91.830002
1969,June,97.709999
1969,May,103.459999
1969,April,103.690002
1969,March,101.510002
1969,February,98.129997
1969,January,103.010002
2068,December,103.860001
2068,November,108.370003
2068,October,103.410004
2068,September,102.669998
2068,August,98.860001
2068,July,97.739998
2068,June,99.580002
2068,May,98.68
2068,April,97.459999
2068,March,90.199997
2068,February,89.360001
2068,January,92.239998
2067,December,96.470001
2067,November,94
2067,October,93.300003
2067,September,96.709999
2067,August,93.639999
2067,July,94.75
2067,June,90.639999
2067,May,89.080002
2067,April,94.010002
2067,March,90.199997
2067,February,86.779999
2067,January,86.610001
2066,December,80.330002
2066,November,80.449997
2066,October,80.199997
2066,September,76.559998
2066,August,77.099998
2066,July,83.599998
2066,June,84.739998
2066,May,86.129997
2066,April,91.059998
2066,March,89.230003
2066,February,91.220001
2066,January,92.879997
2065,December,92.43
2065,November,91.610001
2065,October,92.419998
2065,September,89.959999
2065,August,87.169998
2065,July,85.25
2065,June,84.120003
2065,May,88.419998
2065,April,89.110001
2065,March,86.160004
2065,February,87.43
2065,January,87.559998
2064,December,84.75
2064,November,84.419998
2064,October,84.860001
2064,September,84.18
2064,August,81.830002
2064,July,83.18
2064,June,81.690002
2064,May,80.370003
2064,April,79.459999
2064,March,78.980003
2064,February,77.800003
2064,January,77.040001
2063,December,75.019997
2063,November,73.230003
2063,October,74.010002
2063,September,71.699997
2063,August,72.5
2063,July,69.129997
2063,June,69.370003
2063,May,70.800003
2063,April,69.800003
2063,March,66.57
2063,February,64.290001
2063,January,66.199997
2062,December,63.099998
2062,November,62.259998
2062,October,56.52
2062,September,56.27
2062,August,59.119999
2062,July,58.23
2062,June,54.75
2062,May,59.630001
2062,April,65.239998
2062,March,69.550003
2062,February,69.959999
2062,January,68.839996
2061,December,71.550003
2061,November,71.32
2061,October,68.620003
2061,September,66.730003
2061,August,68.07
2061,July,66.760002
2061,June,64.639999
2061,May,66.559998
2061,April,65.309998
2061,March,65.059998
2061,February,63.439999
2061,January,61.779999
2060,December,58.110001
2060,November,55.540001
2060,October,53.389999
2060,September,53.52
2060,August,56.959999
2060,July,55.509998
2060,June,56.919998
2060,May,55.830002
2060,April,54.369999
2060,March,55.34
2060,February,56.119999
2060,January,55.610001
2059,December,59.889999
2059,November,58.279999
2059,October,57.52
2059,September,56.880001
2059,August,59.599998
2059,July,60.509998
2059,June,58.470001
2059,May,58.68
2059,April,57.59
2059,March,55.439999
2059,February,55.41
2059,January,55.450001
2058,December,55.209999
2058,November,52.48
2058,October,51.330002
2058,September,50.060001
2058,August,47.75
2058,July,47.189999
2058,June,45.240002
2058,May,44.09
2058,April,43.439999
2058,March,42.099998
2058,February,40.84
2058,January,41.700001
2057,December,39.990002
2057,November,41.720001
2057,October,41.060001
2057,September,42.419998
2057,August,45.220001
2057,July,47.91
2057,June,47.369999
2057,May,47.43
2057,April,45.740002
2057,March,44.110001
2057,February,43.259998
2057,January,44.720001
2056,December,46.669998
2056,November,45.080002
2056,October,45.580002
2056,September,45.349998
2056,August,47.509998
2056,July,49.389999
2056,June,46.970001
2056,May,45.200001
2056,April,48.380001
2056,March,48.48
2056,February,45.34
2056,January,43.82
2055,December,45.48
2055,November,45.509998
2055,October,42.34
2055,September,43.669998
2055,August,43.18
2055,July,43.52
2055,June,41.029999
2055,May,37.91
2055,April,37.959999
2055,March,36.580002
2055,February,36.759998
2055,January,36.630001
2054,December,35.98
2054,November,34.240002
2054,October,31.68
2054,September,32.310001
2054,August,29.83
2054,July,30.879999
2054,June,29.209999
2054,May,29.190001
2054,April,28.26
2054,March,26.940001
2054,February,26.15
2054,January,26.08
2053,December,24.809999
2053,November,24.76
2053,October,24.540001
2053,September,23.35
2053,August,23.32
2053,July,24.75
2053,June,24.139999
2053,May,24.540001
2053,April,24.620001
2053,March,25.290001
2053,February,25.9
2053,January,26.379999
2052,December,26.57
2052,November,25.66
2052,October,24.52
2052,September,24.540001
2052,August,25.030001
2052,July,25.4
2052,June,24.959999
2052,May,23.860001
2052,April,23.32
2052,March,24.370001
2052,February,23.26
2052,January,24.139999
2051,December,23.77
2051,November,22.879999
2051,October,22.940001
2051,September,23.26
2051,August,23.280001
2051,July,22.4
2051,June,20.959999
2051,May,21.52
2051,April,22.43
2051,March,21.48
2051,February,21.799999
2051,January,21.66
2050,December,20.43
2050,November,19.51
2050,October,19.530001
2050,September,19.450001
2050,August,18.42
2050,July,17.84
2050,June,17.690001
2050,May,18.780001
2050,April,17.959999
2050,March,17.290001
2050,February,17.219999
2050,January,17.049999
