year,month,unemployment
1975,October,8.4
1975,November,8.3
1975,December,8.2
1976,January,7.9
1976,February,7.7
1976,March,7.6
1976,April,7.7
1976,May,7.4
1976,June,7.6
1976,July,7.8
1976,August,7.8
1976,September,7.6
1976,October,7.7
1976,November,7.8
1976,December,7.8
1977,January,7.5
1977,February,7.6
1977,March,7.4
1977,April,7.2
1977,May,7
1977,June,7.2
1977,July,6.9
1977,August,7
1977,September,6.8
1977,October,6.8
1977,November,6.8
1977,December,6.4
1978,January,6.4
1978,February,6.3
1978,March,6.3
1978,April,6.1
1978,May,6
1978,June,5.9
1978,July,6.2
1978,August,5.9
1978,September,6
1978,October,5.8
1978,November,5.9
1978,December,6
1979,January,5.9
1979,February,5.9
1979,March,5.8
1979,April,5.8
1979,May,5.6
1979,June,5.7
1979,July,5.7
1979,August,6
1979,September,5.9
1979,October,6
1979,November,5.9
1979,December,6
1980,January,6.3
1980,February,6.3
1980,March,6.3
1980,April,6.9
1980,May,7.5
1980,June,7.6
1980,July,7.8
1980,August,7.7
1980,September,7.5
1980,October,7.5
1980,November,7.5
1980,December,7.2
1981,January,7.5
1981,February,7.4
1981,March,7.4
1981,April,7.2
1981,May,7.5
1981,June,7.5
1981,July,7.2
1981,August,7.4
1981,September,7.6
1981,October,7.9
1981,November,8.3
1981,December,8.5
1982,January,8.6
1982,February,8.9
1982,March,9
1982,April,9.3
1982,May,9.4
1982,June,9.6
1982,July,9.8
1982,August,9.8
1982,September,10.1
1982,October,10.4
1982,November,10.8
1982,December,10.8
1983,January,10.4
1983,February,10.4
1983,March,10.3
1983,April,10.2
1983,May,10.1
1983,June,10.1
1983,July,9.4
1983,August,9.5
1983,September,9.2
1983,October,8.8
1983,November,8.5
1983,December,8.3
1984,January,8
1984,February,7.8
1984,March,7.8
1984,April,7.7
1984,May,7.4
1984,June,7.2
1984,July,7.5
1984,August,7.5
1984,September,7.3
1984,October,7.4
1984,November,7.2
1984,December,7.3
1985,January,7.3
1985,February,7.2
1985,March,7.2
1985,April,7.3
1985,May,7.2
1985,June,7.4
1985,July,7.4
1985,August,7.1
1985,September,7.1
1985,October,7.1
1985,November,7
1985,December,7
1986,January,6.7
1986,February,7.2
1986,March,7.2
1986,April,7.1
1986,May,7.2
1986,June,7.2
1986,July,7
1986,August,6.9
1986,September,7
1986,October,7
1986,November,6.9
1986,December,6.6
1987,January,6.6
1987,February,6.6
1987,March,6.6
1987,April,6.3
1987,May,6.3
1987,June,6.2
1987,July,6.1
1987,August,6
1987,September,5.9
1987,October,6
1987,November,5.8
1987,December,5.7
1988,January,5.7
1988,February,5.7
1988,March,5.7
1988,April,5.4
1988,May,5.6
1988,June,5.4
1988,July,5.4
1988,August,5.6
1988,September,5.4
1988,October,5.4
1988,November,5.3
1988,December,5.3
1989,January,5.4
1989,February,5.2
1989,March,5
1989,April,5.2
1989,May,5.2
1989,June,5.3
1989,July,5.2
1989,August,5.2
1989,September,5.3
1989,October,5.3
1989,November,5.4
1989,December,5.4
1990,January,5.4
1990,February,5.3
1990,March,5.2
1990,April,5.4
1990,May,5.4
1990,June,5.2
1990,July,5.5
1990,August,5.7
1990,September,5.9
1990,October,5.9
1990,November,6.2
1990,December,6.3
1991,January,6.4
1991,February,6.6
1991,March,6.8
1991,April,6.7
1991,May,6.9
1991,June,6.9
1991,July,6.8
1991,August,6.9
1991,September,6.9
1991,October,7
1991,November,7
1991,December,7.3
1992,January,7.3
1992,February,7.4
1992,March,7.4
1992,April,7.4
1992,May,7.6
1992,June,7.8
1992,July,7.7
1992,August,7.6
1992,September,7.6
1992,October,7.3
1992,November,7.4
1992,December,7.4
1993,January,7.3
1993,February,7.1
1993,March,7
1993,April,7.1
1993,May,7.1
1993,June,7
1993,July,6.9
1993,August,6.8
1993,September,6.7
1993,October,6.8
1993,November,6.6
1993,December,6.5
1994,January,6.6
1994,February,6.6
1994,March,6.5
1994,April,6.4
1994,May,6.1
1994,June,6.1
1994,July,6.1
1994,August,6
1994,September,5.9
1994,October,5.8
1994,November,5.6
1994,December,5.5
1995,January,5.6
1995,February,5.4
1995,March,5.4
1995,April,5.8
1995,May,5.6
1995,June,5.6
1995,July,5.7
1995,August,5.7
1995,September,5.6
1995,October,5.5
1995,November,5.6
1995,December,5.6
1996,January,5.6
1996,February,5.5
1996,March,5.5
1996,April,5.6
1996,May,5.6
1996,June,5.3
1996,July,5.5
1996,August,5.1
1996,September,5.2
1996,October,5.2
1996,November,5.4
1996,December,5.4
1997,January,5.3
1997,February,5.2
1997,March,5.2
1997,April,5.1
1997,May,4.9
1997,June,5
1997,July,4.9
1997,August,4.8
1997,September,4.9
1997,October,4.7
1997,November,4.6
1997,December,4.7
1998,January,4.6
1998,February,4.6
1998,March,4.7
1998,April,4.3
1998,May,4.4
1998,June,4.5
1998,July,4.5
1998,August,4.5
1998,September,4.6
1998,October,4.5
1998,November,4.4
1998,December,4.4
1999,January,4.3
1999,February,4.4
1999,March,4.2
1999,April,4.3
1999,May,4.2
1999,June,4.3
1999,July,4.3
1999,August,4.2
1999,September,4.2
1999,October,4.1
1999,November,4.1
1999,December,4
2000,January,4
2000,February,4.1
2000,March,4
2000,April,3.8
2000,May,4
2000,June,4
2000,July,4
2000,August,4.1
2000,September,3.9
2000,October,3.9
2000,November,3.9
2000,December,3.9
2001,January,4.2
2001,February,4.2
2001,March,4.3
2001,April,4.4
2001,May,4.3
2001,June,4.5
2001,July,4.6
2001,August,4.9
2001,September,5
2001,October,5.3
2001,November,5.5
